n,mean,increment,support_end,dominance_active_count,monotone_active_count,active_signature,signature_changed,tail_l1_move,solver_method,max_constraint_violation,d2_l1,d3_l1,d4_l1,d4_l2sq,tail_entropy,second_moment,third_moment
83,2.061499542111741,0.010855996405139123,7,128,120,332e0693b76899bbd8d2,False,0.010855996405139469,highs,1.1102230246251565e-16,0.5772929244640537,0.5070404400882844,0.5727205793506671,0.08734014176300396,2.0042770347135788,5.584181109527698,17.365942813179302
84,2.0722327451440137,0.010733203032272431,7,128,120,332e0693b76899bbd8d2,False,0.010733203032272879,highs,0.0,0.5749800367947868,0.5076663516976595,0.5670240648899142,0.08768702770946132,2.011998044987809,5.638024692513271,17.612849712562497
85,2.0828445867630774,0.010611841619063256,7,128,120,332e0693b76899bbd8d2,False,0.010611841619063174,highs,0.0,0.572690060437778,0.5082559923394556,0.5613692425928757,0.08818235090567544,2.019635567374528,5.69152536016206,17.85987443831357
86,2.0933365098937946,0.010491923130717229,7,128,120,332e0693b76899bbd8d2,False,0.010491923130717335,highs,0.0,0.5704229661453936,0.5088168033480638,0.5557557208933781,0.08881958595200448,2.027199949684985,5.744695506133541,18.10716660834784
87,2.1037099688430927,0.01037345894929853,7,128,120,332e0693b76899bbd8d2,False,0.010373458949298342,highs,0.0,0.5681786989492186,0.5093568005291075,0.5501828910860049,0.0895935937829553,2.034702274094037,5.797549516195727,18.354903255635488
88,2.1139664302741443,0.01025646143105119,7,128,120,332e0693b76899bbd8d2,False,0.010256461431051992,highs,0.0,0.56595718200953,0.5098846770582848,0.5446499247617977,0.09050071784340517,2.0421544242779377,5.8501040112311635,18.60329243240146
89,2.12410737474196,0.010140944467815327,7,128,120,332e0693b76899bbd8d2,False,0.01014094446781544,highs,0.0,0.5637583199128581,0.5104099195795728,0.5392847919088852,0.09153890737152649,2.0495691552091095,5.902378128513084,18.852577344897135
90,2.1341342988060066,0.010026924064046483,7,128,120,332e0693b76899bbd8d2,False,0.010026924064046138,highs,1.1102230246251565e-16,0.56158200149719,0.5109429395613422,0.5346145789387197,0.09270787337381146,2.0569601644258357,5.954393846303443,19.103041093234722
91,2.1440487177470193,0.009914418941012748,7,128,120,332e0693b76899bbd8d2,False,0.009914418941012691,highs,0.0,0.5594281022730826,0.5114952222390676,0.53013807654686,0.09400928422997319,2.0643421631680408,6.006176357602998,19.355012101577383
92,2.1538521689270893,0.009803451180069978,7,128,120,332e0693b76899bbd8d2,False,0.009803451180069995,highs,2.220446049250313e-16,0.5572964864987909,0.512079495786468,0.5258769378930516,0.09544700958719604,2.0717309452205024,6.057754499765442,19.60887033630083
93,2.163546215844524,0.009694046917434918,7,128,120,332e0693b76899bbd8d2,False,0.009694046917435029,highs,2.220446049250313e-16,0.5551870089592225,0.5129559834050701,0.5269531999215521,0.09702742339755811,2.07914345060178,6.109161247688242,19.86505442380674
94,2.173132452948202,0.009586237103678119,7,128,120,332e0693b76899bbd8d2,False,0.009586237103677507,highs,2.220446049250313e-16,0.5530995164913765,0.5146385615194147,0.5375389695368513,0.09875977975483606,2.0865978203427225,6.160434279430507,20.124069795724413
95,2.1826125112904036,0.009480058342202113,7,128,120,332e0693b76899bbd8d2,False,0.00948005834220173,highs,0.0,0.5510338492926182,0.5165911638179917,0.5484407379731564,0.10065667877279065,2.0941134374643746,6.211616624403382,20.38649800757409
96,2.1919880651126857,0.009375553822282612,7,128,120,332e0693b76899bbd8d2,False,0.009375553822282692,highs,1.3877787807814457e-17,0.5489898420430284,0.5188616492991249,0.5597447996770892,0.10273464434329366,2.1017109478297513,6.26275740575419,20.653007397909068
97,2.2012608394765416,0.00927277436385543,7,128,120,332e0693b76899bbd8d2,False,0.009272774363855601,highs,2.220446049250313e-16,0.5469673248684429,0.5215043402153058,0.5715485479557194,0.1050148415158809,2.1094122527281285,6.313912690248509,20.92436527887935
98,2.210432619069692,0.009171779593150298,7,128,120,332e0693b76899bbd8d2,False,0.0091717795931504,highs,0.0,0.5449661241670571,0.5245809579041207,0.5839620971359475,0.1075239688339649,2.1172404627511563,6.365146460874331,21.201451876494268
99,2.2195052583402566,0.009072639270564675,7,128,120,332e0693b76899bbd8d2,False,0.009072639270564545,highs,3.3306690738754696e-16,0.5435759137058366,0.528161691801311,0.5971101351424929,0.11029537074767681,2.125219799602449,6.416531729584208,21.48527627009344
100,2.228480693135083,0.008975434794826764,7,128,120,332e0693b76899bbd8d2,False,0.008975434794826551,highs,0.0,0.5429599067526638,0.5323264206982116,0.6111340394924808,0.1133704278491794,2.1333754287673554,6.468151810093569,21.77699461622271
101,2.2373609540456787,0.008880260910595794,7,128,120,332e0693b76899bbd8d2,False,0.008880260910595024,highs,0.0,0.542609362944364,0.5371661080244585,0.6261942944093983,0.1168002989900273,2.1417332012178147,6.520101773511338,22.077930982891267
102,2.2461481816959368,0.008787227650258966,7,128,120,332e0693b76899bbd8d2,False,0.008787227650258939,highs,0.0,0.5425595753161376,0.5427843960453801,0.6424732521390104,0.12064811044523979,2.150319276213393,6.572490112843331,22.38960116678723
103,2.254844644240751,0.008696462544813599,7,128,120,332e0693b76899bbd8d2,False,0.008696462544813963,highs,1.1102230246251565e-16,0.542850868076224,0.549299427415324,0.6601782876963368,0.12499171462030127,2.159159589337203,6.625440646138177,22.713739919282098
104,2.2634527573842704,0.008608113143519613,7,128,120,332e0693b76899bbd8d2,False,0.00860811314351927,highs,1.1102230246251565e-16,0.5435293169356968,0.5568459265892178,0.6795454033015901,0.12992717622935382,2.168279119552314,6.6790946923062915,23.05233206791296
105,2.2720213132919205,0.008568555907650044,8,128,119,b92a40c8937470f031a5,True,0.008568555907649933,highs,5.551115123125783e-17,0.5434347530489229,0.5638206614407056,0.6994565999553801,0.13621257371179923,2.1781416360958032,6.733368112863813,23.400663813412045
106,2.2807770651967076,0.008755751904787612,8,128,119,b92a40c8937470f031a5,False,0.009667733333868795,highs,1.734723475976807e-18,0.5423885893891387,0.5616994426934888,0.7120959103395009,0.14635229770153335,2.1891086595652287,6.786926815024635,23.722187764188625
107,2.2895097386150542,0.008732673418346604,8,128,119,b92a40c8937470f031a5,False,0.009391751571566196,highs,3.469446951953614e-18,0.5419883518612444,0.5579403363710381,0.7170466033403862,0.15196882485091992,2.198533149374331,6.839237033683739,24.022191831896222
108,2.2982232057540704,0.008713467139016107,8,128,119,b92a40c8937470f031a5,False,0.009380225577773913,highs,3.469446951953614e-18,0.5412270989030739,0.5536826371032276,0.7189601810869145,0.1558657729493751,2.2070783318770055,6.890410605656579,24.30375366383761
109,2.306898117568667,0.008674911814596786,8,128,119,b92a40c8937470f031a5,False,0.009262343634414562,highs,5.551115123125783e-17,0.5421222292403847,0.5492399609470553,0.718602116335548,0.15814698918006154,2.214938067080961,6.940610687935844,24.57091933024971
110,2.3155485382721785,0.008650420703512296,9,128,118,9bd527f6fe03b7a012c8,True,0.009247899392815579,highs,1.3877787807814457e-17,0.5433803615324094,0.5447325980133492,0.7172480406536458,0.15951624884705762,2.222518889757183,6.990269606642847,24.83019374086861
111,2.324164169797876,0.008615631525696887,9,128,118,9bd527f6fe03b7a012c8,False,0.009183179299479944,highs,5.551115123125783e-17,0.5443142727160248,0.5401110247695029,0.7147785026501595,0.1599476803859385,2.229779262189812,7.039478156949411,25.083768848556936
